bus_number,bus_type,source,destination,departure_time,arrival_time,ticket_price_rs,available_seats
TNSTC 4640,AC Seater,Perambalur,Coimbatore,05:57 AM,10:02 AM,150,12
TNSTC 5901,Express,Thanjavur,Villupuram,06:11 PM,08:39 PM,360,38
TNSTC 2859,Express,Tirupur,Perambalur,04:51 PM,07:00 PM,180,37
TNSTC 8188,Express,Virudhunagar,Villupuram,06:50 PM,02:36 AM,440,38
TNSTC 4369,Sleeper,Tenkasi,Ambur,08:31 PM,02:44 AM,610,8
TNSTC 9546,AC Sleeper,Tirupur,Theni,10:52 PM,02:04 AM,460,25
TNSTC 4348,Ultra Deluxe,Tirupathur,Thanjavur,07:57 AM,02:19 PM,180,32
TNSTC 2904,AC Sleeper,Vellore,Tiruvallur,08:22 PM,11:04 PM,350,22
TNSTC 4826,AC Seater,Karur,Tiruvannamalai,09:43 PM,01:33 AM,220,34
TNSTC 5283,Ultra Deluxe,Chengalpattu,Virudhunagar,10:46 AM,05:54 PM,530,39
TNSTC 6722,Ultra Deluxe,Kanchipuram,Tenkasi,03:17 PM,06:32 PM,490,29
TNSTC 4483,AC Seater,Mayiladuthurai,Cuddalore,05:52 AM,08:25 AM,300,33
TNSTC 5995,Sleeper,Krishnagiri,Dindigul,11:24 AM,07:56 PM,530,11
TNSTC 5697,Ultra Deluxe,Tirupur,Mayiladuthurai,01:23 PM,06:30 PM,630,25
TNSTC 2328,Sleeper,Vellore,Tirunelveli,05:41 AM,09:12 AM,170,36
TNSTC 1825,AC Sleeper,Tiruvarur,Ambur,12:38 PM,10:36 PM,560,16
TNSTC 5701,Sleeper,Thanjavur,Cuddalore,06:46 AM,04:15 PM,340,31
TNSTC 7487,Sleeper,Tiruvallur,Tiruvannamalai,02:24 AM,04:41 AM,340,18
TNSTC 5622,Ultra Deluxe,Villupuram,Dindigul,09:17 PM,06:25 AM,210,20
TNSTC 4495,AC Sleeper,Ambur,Vellore,09:57 AM,12:40 PM,330,3
TNSTC 4865,Express,Thoothukudi,Pudukkottai,11:33 AM,08:43 PM,210,30
TNSTC 1928,Government,Dindigul,Perambalur,05:57 AM,08:09 AM,280,29
TNSTC 3048,AC Seater,Villupuram,Thanjavur,11:54 PM,05:33 AM,210,22
TNSTC 2883,AC Sleeper,Nilgiris,Madurai,03:10 AM,07:55 AM,260,12
TNSTC 6417,AC Seater,Kanchipuram,Tiruvannamalai,08:35 AM,12:31 PM,490,24
TNSTC 1408,Government,Kanyakumari,Trichy,01:46 AM,04:50 AM,160,39
TNSTC 8626,Express,Virudhunagar,Perambalur,08:09 AM,11:25 AM,450,18
TNSTC 8388,Deluxe,Krishnagiri,Tirunelveli,05:49 AM,03:30 PM,290,39
TNSTC 4118,Deluxe,Mayiladuthurai,Theni,08:58 PM,03:17 AM,610,26
TNSTC 8867,Express,Nagapattinam,Dharmapuri,06:32 AM,09:11 AM,220,31
TNSTC 7269,Express,Cuddalore,Ranipet,04:07 PM,01:49 AM,540,7
TNSTC 6090,Deluxe,Nagapattinam,Tiruvarur,07:32 PM,12:50 AM,510,11
TNSTC 3689,Sleeper,Karur,Thoothukudi,04:42 AM,09:06 AM,170,18
TNSTC 4965,AC Sleeper,Karur,Salem,03:29 PM,01:21 AM,190,4
TNSTC 7810,Sleeper,Villupuram,Thoothukudi,11:42 PM,09:01 AM,610,11
TNSTC 4783,AC Seater,Salem,Tirunelveli,05:06 AM,07:19 AM,610,10
TNSTC 7851,Express,Trichy,Theni,06:54 PM,08:54 PM,200,15
TNSTC 4711,Express,Erode,Sivaganga,12:08 AM,07:00 AM,480,39
TNSTC 6685,Express,Sivaganga,Tirupur,03:12 PM,06:02 PM,210,33
TNSTC 7346,Government,Vellore,Tirunelveli,04:48 AM,11:13 AM,290,14
TNSTC 1109,Express,Villupuram,Tiruvannamalai,01:26 PM,07:05 PM,490,3
TNSTC 4024,Express,Madurai,Tenkasi,02:03 PM,05:48 PM,570,10
TNSTC 2058,Deluxe,Kanyakumari,Thanjavur,10:02 AM,02:05 PM,570,34
TNSTC 5687,Express,Tirunelveli,Nagapattinam,07:29 PM,09:29 PM,520,36
TNSTC 3829,Express,Namakkal,Coimbatore,12:06 AM,07:33 AM,190,9
TNSTC 7327,Express,Ramanathapuram,Trichy,03:00 PM,08:03 PM,350,12
TNSTC 6011,Ultra Deluxe,Tiruvannamalai,Kanchipuram,01:51 AM,04:02 AM,340,3
TNSTC 5581,Government,Tiruvarur,Krishnagiri,07:11 AM,03:25 PM,190,25
