bus_number,bus_type,source,destination,departure_time,arrival_time,ticket_price_rs,available_seats,distance_km
TNSTC-CHN-1000,Express,Chennai,Coimbatore,19:00,05:00,750,21,500
TNSTC-CHN-1001,Super Fast,Chennai,Coimbatore,07:30,17:30,750,26,500
TNSTC-CHN-1002,Non AC Seater,Chennai,Coimbatore,09:00,19:00,750,29,500
TNSTC-CHN-1003,Deluxe,Chennai,Coimbatore,05:30,15:30,750,22,500
TNSTC-CHN-1004,Express,Chennai,Coimbatore,00:30,10:30,750,30,500
TNSTC-CHN-1005,Deluxe,Chennai,Coimbatore,14:30,00:30,750,33,500
TNSTC-CHN-1006,Ultra Deluxe,Chennai,Coimbatore,19:00,05:00,750,15,500
TNSTC-CHN-1007,Express,Chennai,Coimbatore,06:00,16:00,750,44,500
TNSTC-CHN-1008,Express,Chennai,Coimbatore,08:30,18:30,750,44,500
TNSTC-CHN-1009,Express,Chennai,Coimbatore,08:00,18:00,750,13,500
TNSTC-CHN-1010,Super Fast,Chennai,Coimbatore,19:30,05:30,750,36,500
TNSTC-CHN-1011,Non AC Seater,Chennai,Coimbatore,09:30,19:30,750,35,500
TNSTC-CHN-1012,Express,Chennai,Coimbatore,04:00,14:00,750,33,500
TNSTC-CHN-1013,Express,Chennai,Coimbatore,02:30,12:30,750,34,500
TNSTC-CHN-1014,Ultra Deluxe,Chennai,Coimbatore,10:00,20:00,750,28,500
TNSTC-CHN-1015,Super Fast,Chennai,Coimbatore,19:30,05:30,750,44,500
TNSTC-CHN-1016,Express,Chennai,Coimbatore,13:00,23:00,750,27,500
TNSTC-CHN-1017,Deluxe,Chennai,Coimbatore,17:30,03:30,750,30,500
TNSTC-CHN-1018,Super Fast,Chennai,Coimbatore,05:00,15:00,750,28,500
TNSTC-CHN-1019,Non AC Seater,Chennai,Coimbatore,19:00,05:00,750,17,500
TNSTC-CHN-1020,Non AC Seater,Chennai,Coimbatore,03:00,13:00,750,35,500
TNSTC-CHN-1021,Super Fast,Chennai,Coimbatore,04:30,14:30,750,30,500
TNSTC-CHN-1022,Super Fast,Chennai,Coimbatore,15:00,01:00,750,13,500
TNSTC-CHN-1023,AC Sleeper,Chennai,Coimbatore,00:00,10:00,750,19,500
TNSTC-CHN-1024,Ultra Deluxe,Chennai,Coimbatore,09:00,19:00,750,44,500
TNSTC-CHN-1025,Ultra Deluxe,Chennai,Coimbatore,17:30,03:30,750,39,500
TNSTC-CHN-1026,Ultra Deluxe,Chennai,Coimbatore,01:30,11:30,750,39,500
TNSTC-CHN-1027,Express,Chennai,Coimbatore,18:00,04:00,750,19,500
TNSTC-CHN-1028,Super Fast,Chennai,Coimbatore,13:30,23:30,750,11,500
TNSTC-CHN-1029,Non AC Seater,Chennai,Coimbatore,10:30,20:30,750,42,500
TNSTC-CHN-1030,Super Fast,Chennai,Coimbatore,01:00,11:00,750,10,500
TNSTC-CHN-1031,Non AC Seater,Chennai,Coimbatore,04:30,14:30,750,18,500
TNSTC-CHN-1032,Super Fast,Chennai,Coimbatore,18:00,04:00,750,44,500
TNSTC-CHN-1033,Express,Chennai,Coimbatore,07:30,17:30,750,36,500
TNSTC-CHN-1034,Non AC Seater,Chennai,Coimbatore,01:00,11:00,750,40,500
TNSTC-CHN-1035,Express,Chennai,Coimbatore,21:00,07:00,750,24,500
TNSTC-CHN-1036,Super Fast,Chennai,Coimbatore,11:00,21:00,750,31,500
TNSTC-CHN-1037,Ultra Deluxe,Chennai,Coimbatore,22:30,08:30,750,10,500
TNSTC-CHN-1038,Non AC Seater,Chennai,Coimbatore,11:30,21:30,750,22,500
TNSTC-CHN-1039,Deluxe,Chennai,Coimbatore,21:00,07:00,750,18,500
TNSTC-CHN-1040,Non AC Seater,Chennai,Coimbatore,17:00,03:00,750,33,500
TNSTC-CHN-1041,Non AC Seater,Chennai,Coimbatore,07:00,17:00,750,12,500
TNSTC-CHN-1042,Deluxe,Chennai,Coimbatore,14:30,00:30,750,38,500
TNSTC-CHN-1043,AC Sleeper,Chennai,Coimbatore,03:30,13:30,750,18,500
TNSTC-CHN-1044,AC Sleeper,Chennai,Coimbatore,05:00,15:00,750,39,500
TNSTC-CHN-1045,AC Sleeper,Chennai,Coimbatore,11:30,21:30,750,34,500
TNSTC-CHN-1046,Super Fast,Chennai,Coimbatore,06:00,16:00,750,21,500
TNSTC-CHN-1047,AC Sleeper,Chennai,Coimbatore,06:30,16:30,750,14,500
TNSTC-CHN-1048,AC Sleeper,Chennai,Coimbatore,09:30,19:30,750,33,500
TNSTC-CHN-1049,Express,Chennai,Coimbatore,11:00,21:00,750,20,500
TNSTC-CHN-1050,AC Sleeper,Chennai,Coimbatore,23:00,09:00,750,30,500
TNSTC-CHN-1051,Super Fast,Chennai,Coimbatore,23:00,09:00,750,28,500
TNSTC-CHN-1052,AC Sleeper,Chennai,Coimbatore,22:30,08:30,750,12,500
